Pattern,Reasoning_Clause,Decision
Other/Unspecified,"the facts, the science, and the law",Denial
Other/Unspecified,"and consideration, we deny your petition for the reasons set forth below",Denial
Safety Established,"no evidence of a safety concern, fda has taken steps to reduce exposure to thirnerosal c",Denial
Other/Unspecified,"ed on our review of these materials, and for the reasons described below, your petition is denied",Denial
Other/Unspecified,ing the amounts of these chemicals that circulate in the body,Denial
Other/Unspecified,"e control and prevention (cdc) describes fibromyalgia as ""a condition that causes widespread pain, sleep problems, fatigue, and often psychological di",Denial
Other/Unspecified,a score of greater than 7 o,Denial
Other/Unspecified,"our review of these materials, and for the reasons described below, your petition is denied",Denial
FDA Disagrees,"your proposed strength is not supported by the listed drug labeling and would thus represent a new dosing regimen, which is not a petitionable change",Denial
Other/Unspecified,e contact the division ofneurology products at (301) 796-2250 if you wish to pursue approval of your product under section 505(b) ofthe act,Denial
Other/Unspecified,t 7-8 hours remaining before the planned time of awakening,Denial
Other/Unspecified,e the risk of next day impairment of driving and other activities that require full alertness,Denial
Procedural Issue,"a significant share of consumers would find it relevant to their purchasing decisions""; and (2) fda issue new regulations that require additional lab",Denial
Other/Unspecified,requesting these actions for foods derived from genetically engineered plants based on the action requested and the scientific data and information c,Denial
Other/Unspecified,the action requested and the scientific data and information cited in your petition,Denial
Other/Unspecified,"ons discussed below, we are denying your request",Denial
Other/Unspecified,"ty rings are implanted in the heart usually for a patient's entire lifetime the federal food, drug, and cosmetic act (fd&c act), as amended, establish",Denial
Safety Established,onable assurance of their safety and effectiveness,Denial
Other/Unspecified,"s i (general controls), class ii (special controls), and class ill (premarket approval)",Denial
Other/Unspecified,"s i devices are those devices for which the general controls of the fd&c act (controls authorized by or under section 501, 502, 510, 516, 518, 519, or",Denial
Other/Unspecified,onable assurance of saf,Denial
Procedural Issue,in accordance with title 21 ofthe code of federal regulations (cfr) 10,Denial
Procedural Issue,"ons discussed below, we are denying the petition in accordance with title 21 ofthe code of federal regulations (cfr) 10",Denial
Other/Unspecified,"e and at the offices of health care providers will effectively communicate clear and useful federal seafood consumption advice for pregnant women, bre",Denial
Procedural Issue,"of your petition, and for the reasons discussed below, we are denying the petition in accordance with title 21 ofthe code of federal regulations (cfr",Denial
Public Health Benefit,"er-assisted in situ keratomileusis (lasik) excimer lasers, and (2) issue a public health advisory with a voluntary recall of these lasik devices",Denial
Other/Unspecified,": • the permissible differences that can be considered in the suitability petition process as described in the act are: route of administration, dosag",Denial
Other/Unspecified,s of animal as indicated in your request,Denial
Other/Unspecified,"of its high potential for abuse, morphine sulfate is a controlled substance in schedule ii of the controlled substances act (csa), 21 u",Denial
FDA Agrees/Warrants Action,"that we agree with your statement on pages 14-15 of the petition that '""grandfather' status does not mean a product is unregulated",Denial
Other/Unspecified,concluded that investigations are necessary for this proposed drug product,Denial
Other/Unspecified,"your proposed product, sitagliptin and metformin hydrochloride extended-releas",Denial
Other/Unspecified,"your proposed change in strength raises questions of effectiveness, and the agency has concluded that investigations are necessary for this proposed",Denial
Other/Unspecified,"the request is not a permissible change, as defined under section 512(n)(3)(c) of the act",Denial
Other/Unspecified,unclear which approved product is the rlnad for your proposed generic product,Denial
Other/Unspecified,e clearly identify one rlnad for your proposed generic product,Denial
Procedural Issue,"originally submitted, you may seek a reconsideration of the denial following the procedures set forth in 21 cfr 10",Denial
Other/Unspecified,ed solely on the information contained in your original petition and must be submitted in accordance with 21 cfr section 10,Denial
Other/Unspecified,"additional information that you would like the fda to consider, submit a new petition",Denial
Safety Established,to necessitate significant labeling changes to address the newly introduced safety or effectiveness problem,Denial
